;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Отдел закупок;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;667,3;204627,77;;;12;287,76;655,3;204340,01
Отдел закупок;;;;;;;;;654,3;204329,79;;;2;125,76;652,3;204204,03
1;2010;;;Аппарат телефонный;;;шт;;2;;;;;;2;
2;2526;;;Блок  бумаги д/записи;;;шт;66,87;1;66,87;;;;;1;66,87
3;33123;;;Блок системный Pentium Core i3-8100 3.6 Ггц;;;шт;39305,71;1;39305,71;;;;;1;39305,71
4;33674;;;Блок системный АМ4 AMD Ryzen 3.6 Ггц;;;шт;39800;1;39800;;;;;1;39800
5;17740;;;Бумага  писчая А-4;;;шт;246,87;36;8887,32;;;;;36;8887,32
6;2589;;;Дырокол;;;шт;426,89;1;426,89;;;;;1;426,89
7;26814;;;Жалюзи  вертикальные;;;м2;598,57;4,3;2573,85;;;;;4,3;2573,85
8;30544;;;Зажим для бумаг 19 мм 12 шт /упак;;;упак;27,59;1;27,59;;;;;1;27,59
9;33146;;;Закладки клейкие ;;;упак;49,49;1;49,49;;;;;1;49,49
10;2216;;;Зеркало;;;шт;1504,05;1;1504,05;;;;;1;1504,05
11;2220;;;Калькулятор ;;;шт;564,64;1;564,64;;;;;1;564,64
12;2620;;;Калькулятор;;;шт;412,19;3;1236,57;;;;;3;1236,57
13;29922;;;Карандаш чернографитный с ласт.;;;шт;10,31;2;20,62;;;;;2;20,62
