;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Отдел кадров (Пустовалова...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;5 703,000;233 937,66;;;;;5 703,000;233 937,66
Отдел кадров (Пустовалова О.А.);;;;;;;;;5 703,000;233 937,66;;;;;5 703,000;233 937,66
1;10641      ;;;Антистеплер;;;шт;36,44;2,000;72,88;;;;;2,000;72,88
2;27725      ;;;Бланк  - благодарственное письмо;;;шт;14,01;20,000;280,20;;;;;20,000;280,20
3;17770      ;;;Бланк  "Приказ о предоставлении отпуска";;;шт;1,03;2 500,000;2 575,00;;;;;2 500,000;2 575,00
4;33368      ;;;Бланк " Приказ";;;шт;1,54;1 000,000;1 540,00;;;;;1 000,000;1 540,00
5;22165      ;;;Бланк "Заявление об отпуске";;;шт;1,28;800,000;1 024,00;;;;;800,000;1 024,00
6;08016      ;;;Бланк "Личная карточка работника";;;шт;4,47;10,000;44,70;;;;;10,000;44,70
7;11901      ;;;Бланк временный пропуск ;;;шт;0,54;200,000;108,00;;;;;200,000;108,00
8;10206      ;;;Бланк Заявление;;;шт;2,5;500,000;1 250,00;;;;;500,000;1 250,00
9;02526      ;;;Блок  бумаги д/записи;;;шт;66,87;3,000;200,61;;;;;3,000;200,61
10;33123      ;;;Блок системный Pentium Core i3-8100 3.6 Ггц;;;шт;39 305,71;1,000;39 305,71;;;;;1,000;39 305,71
11;17740      ;;;Бумага  писчая А-4;;;шт;246,87;55,000;13 577,85;;;;;55,000;13 577,85
12;23302      ;;;Веб-камера;;;шт;1 900;1,000;1 900,00;;;;;1,000;1 900,00
13;02570      ;;;Вкладыш  в  трудовую  книжку;;;шт;148,3;17,000;2 521,10;;;;;17,000;2 521,10
14;03220      ;;;Диспенсер  для  скотча;;;шт;435,99;1,000;435,99;;;;;1,000;435,99
15;03222      ;;;Доска  магнитно-маркерная;;;шт;4 492,09;2,000;8 984,18;;;;;2,000;8 984,18
16;27595      ;;;Доска пробковая;;;шт;1 258,55;1,000;1 258,55;;;;;1,000;1 258,55
17;02589      ;;;Дырокол;;;шт;426,89;1,000;426,89;;;;;1,000;426,89
18;23444      ;;;Жалюзи  горизонтальные алюм.;;;м2;700;3,000;2 100,00;;;;;3,000;2 100,00
19;33337      ;;;ЖМС "ТРИКЛОСЕПТ"жидкий антисептик для рук,1л;;;л;256,8;1,000;256,80;;;;;1,000;256,80
20;02216      ;;;Зеркало;;;шт;1 504,05;1,000;1 504,05;;;;;1,000;1 504,05
21;02220      ;;;Калькулятор ;;;шт;564,64;1,000;564,64;;;;;1,000;564,64
22;02622      ;;;Карандаш;;;шт;10,32;2,000;20,64;;;;;2,000;20,64
23;03234      ;;;Картридж  для  принтера;;;шт;4 008,96;2,000;8 017,92;;;;;2,000;8 017,92
24;02639      ;;;Клей  карандаш;;;шт;43,59;4,000;174,36;;;;;4,000;174,36
25;13939      ;;;Клише;;;шт;400;1,000;400,00;;;;;1,000;400,00
26;07550      ;;;Клише штампа;;;шт;315;3,000;945,00;;;;;3,000;945,00
27;08207      ;;;Ключ;;;шт;111,85;3,000;335,55;;;;;3,000;335,55
28;02476      ;;;Ключ;;;шт;115,03;1,000;115,03;;;;;1,000;115,03
29;04542      ;;;Книга учета;;;шт;172,06;1,000;172,06;;;;;1,000;172,06
30;04893      ;;;Книжка трудовая;;;шт;160,89;6,000;965,34;;;;;6,000;965,34
31;29921      ;;;Кнопки  для пробковых досок силовые 50 шт./упак;;;упак;31,48;2,000;62,96;;;;;2,000;62,96
32;33929      ;;;Колонки OKLICK OK -331;;;компл.;275;1,000;275,00;;;;;1,000;275,00
33;01586      ;;;Контейнер  мусорный;;;шт;573,75;1,000;573,75;;;;;1,000;573,75
34;31238      ;;;Кресло оператора;;;шт;4 215,81;1,000;4 215,81;;;;;1,000;4 215,81
35;10322      ;;;Кресло офисное;;;шт;6 467,58;3,000;19 402,74;;;;;3,000;19 402,74
36;02670      ;;;Ластик  резинка;;;шт;10,98;3,000;32,94;;;;;3,000;32,94
37;05857      ;;;Лейка садовая;;;шт;210;1,000;210,00;;;;;1,000;210,00
38;02673      ;;;Лента  клеевая  скотч;;;шт;66,29;3,000;198,87;;;;;3,000;198,87
39;04564      ;;;Линейка  ;;;шт;37;1,000;37,00;;;;;1,000;37,00
40;02682      ;;;Лоток для бумаг;;;шт;117,05;3,000;351,15;;;;;3,000;351,15
41;31497      ;;;Маркер для доски;;;пачка;155,73;5,000;778,65;;;;;5,000;778,65
42;29923      ;;;Маркер для флипчартов;;;пачка;101,69;2,000;203,38;;;;;2,000;203,38
43;28176      ;;;Мешки д/мусора 120 л;;;рул;62,88;22,000;1 383,36;;;;;22,000;1 383,36
44;27746      ;;;Микроволновая печь СВЧ;;;шт;3 474,58;1,000;3 474,58;;;;;1,000;3 474,58
45;33836      ;;;Модуль памяти PATRIOT 4Гб;;;шт;1 175;1,000;1 175,00;;;;;1,000;1 175,00
46;32494      ;;;Модуль памяти Samsung DDR4 DIMM 8GB;;;шт;2 491,67;1,000;2 491,67;;;;;1,000;2 491,67
47;14779      ;;;Монитор 25,1 Samsung;;;шт;5 423,73;1,000;5 423,73;;;;;1,000;5 423,73
48;02699      ;;;Набор  канцелярский;;;шт;1 108,18;7,000;7 757,26;;;;;7,000;7 757,26
49;43058      ;;;Набор первоклассника ;;;упак;1 256,76;9,000;11 310,84;;;;;9,000;11 310,84
50;31656      ;;;Накопитель SSD SATA;;;шт;5 315,02;1,000;5 315,02;;;;;1,000;5 315,02
51;10432      ;;;Нож ;;;шт;645,11;1,000;645,11;;;;;1,000;645,11
52;02713      ;;;Ножницы  канцелярские ;;;шт;106,74;1,000;106,74;;;;;1,000;106,74
53;31512      ;;;Ноутбук 14.0 Lenovo V330-14IKB;;;шт;35 338,98;1,000;35 338,98;;;;;1,000;35 338,98
54;34178      ;;;Обложка для паспорта;;;шт;130;110,000;14 300,00;;;;;110,000;14 300,00
55;33918      ;;;Обложка пластиковая для переплета;;;упак;808,33;1,000;808,33;;;;;1,000;808,33
56;02722      ;;;Органайзер;;;шт;150,53;1,000;150,53;;;;;1,000;150,53
57;32073      ;;;Пакет подарочный;;;шт;41,34;110,000;4 547,40;;;;;110,000;4 547,40
58;30646      ;;;Память оперативная DDR3L 4 GB-1600 МГц;;;шт;1 332,5;1,000;1 332,50;;;;;1,000;1 332,50
59;02921      ;;;Печать;;;шт;231,26;2,000;462,52;;;;;2,000;462,52
60;02309      ;;;Печать круглая;;;шт;629,34;1,000;629,34;;;;;1,000;629,34
61;19122      ;;;Ручка шариковая;;;шт;15,09;120,000;1 810,80;;;;;120,000;1 810,80
62;02708      ;;;Секатор;;;шт;880,5;1,000;880,50;;;;;1,000;880,50
63;02765      ;;;Скобы  к  степлеру  N10  ;;;пачка;18,66;3,000;55,98;;;;;3,000;55,98
64;33489      ;;;Скоросшиватель картонный;;;шт;16,43;60,000;985,80;;;;;60,000;985,80
65;32009      ;;;Скоросшиватель пластиковый;;;шт;14,27;10,000;142,70;;;;;10,000;142,70
66;14195      ;;;Скотч;;;шт;43,88;1,000;43,88;;;;;1,000;43,88
67;04696      ;;;Текстмаркер;;;шт;34,93;1,000;34,93;;;;;1,000;34,93
68;21807      ;;;Телефон  Panasonic;;;шт;1 427,84;1,000;1 427,84;;;;;1,000;1 427,84
69;02788      ;;;Точилка;;;шт;37,66;2,000;75,32;;;;;2,000;75,32
